,X,Y,Slice
1,142,31,470
2,142,29,430
3,134,38,377
4,142,27,145
5,143,27,139
6,142,29,128
7,123,103,104
8,383,155,12
9,116,148,2
10,114,147,30
11,88,163,130
12,10,10,nan
12,10,10,10000
12,103,199,20
13,102,197,337
14,104,177,531
15,135,252,301
16,198,201,250
17,198,198,267
18,225,202,399
19,225,202,552
20,287,210,218
21,309,181,253
22,286,208,301
22,145,127,nan
23,293,255,335
24,173,323,529
25,109,297,441
26,72,421,218
27,135,478,490
28,38,440,36
29,223,348,381
30,136,477,59
31,136,477,490
