 ,Area,Mean,Min,Max,X,Y,Slice
1,0,3913,3913,3913,199.000,107.333,20
2,0,13387,13387,13387,159.500,82.333,33
3,0,1820,1820,1820,236.500,171.333,61
4,0,1395,1395,1395,48.000,25.333,62
5,0,4131,4131,4131,201.000,232.333,86
6,0,2605,2605,2605,187.000,139.333,109
7,0,4975,4975,4975,188.000,47.333,116
8,0,7552,7552,7552,172.500,198.833,124
9,0,4353,4353,4353,166.000,234.833,126
10,0,1608,1608,1608,221.000,203.833,118
11,0,6317,6317,6317,189.000,47.833,148
12,0,3134,3134,3134,166.500,103.333,160
13,0,1231,1231,1231,205.500,152.833,173
14,0,2418,2418,2418,251.500,225.333,186
15,0,4274,4274,4274,188.500,50.833,187
16,0,2605,2605,2605,233.000,169.333,209
17,0,4655,4655,4655,233.000,168.833,217
18,0,1043,1043,1043,113.000,77.833,228
19,0,2775,2775,2775,158.500,229.833,252
20,0,7001,7001,7001,214.500,150.833,250
21,0,2856,2856,2856,187.000,91.833,271
22,0,2386,2386,2386,221.000,200.333,272
23,0,9857,9857,9857,253.500,106.833,278
24,0,6572,6572,6572,253.500,244.333,295
25,0,2791,2791,2791,246.000,44.333,303
26,0,2640,2640,2640,184.000,250.833,319
27,0,9667,9667,9667,252.500,104.833,323
28,0,6400,6400,6400,189.000,92.333,324
29,0,1356,1356,1356,246.000,44.333,325
30,0,2612,2612,2612,168.000,234.833,332
31,0,3874,3874,3874,253.667,183.667,346
32,0,3212,3212,3212,216.333,207.000,352
33,0,1706,1706,1706,110.667,228.000,339
34,0,4467,4467,4467,199.667,108.333,368
35,0,2445,2445,2445,188.333,48.333,374
36,0,3680,3680,3680,182.333,27.000,378
37,0,5025,5025,5025,173.667,199.667,388
38,0,4294,4294,4294,236.667,110.000,394
39,0,5410,5410,5410,252.667,104.000,413
40,0,2985,2985,2985,159.333,230.667,417
41,0,8667,8667,8667,230.000,234.333,455
42,0,6650,6650,6650,252.000,243.667,459
43,0,3157,3157,3157,79.333,224.000,494
44,0,3413,3413,3413,214.667,224.333,496
45,0,1919,1919,1919,194.333,212.667,503
46,0,3235,3235,3235,189.000,49.667,518
47,0,1629,1629,1629,191.000,156.667,537
48,0,6235,6235,6235,254.000,105.000,583
49,0,1408,1408,1408,112.000,74.667,583
50,0,1895,1895,1895,151.333,73.333,587
51,0,2287,2287,2287,207.667,219.333,565
52,0,4837,4837,4837,150.333,2.000,576
53,0,2752,2752,2752,143.333,67.000,355
54,0,1708,1708,1708,109.667,224.667,207
55,0,1935,1935,1935,181.667,248.667,195
56,0,4065,4065,4065,287.667,118.333,2
57,0,6715,6715,6715,286.667,117.667,45
58,0,2869,2869,2869,266.667,49.333,62
59,0,11500,11500,11500,346.667,188.000,68
60,0,5514,5514,5514,271.333,36.333,76
61,0,6558,6558,6558,358.667,218.000,84
62,0,3835,3835,3835,320.667,148.667,103
63,0,4122,4122,4122,258.000,180.000,110
64,0,4748,4748,4748,272.000,36.667,116
65,0,11553,11553,11553,310.667,243.667,115
66,0,6486,6486,6486,387.500,256.000,122
67,0,1891,1891,1891,325.333,225.000,126
68,0,4744,4744,4744,387.000,256.000,158
69,0,7362,7362,7362,265.500,273.500,162
70,0,10108,10108,10108,387.000,256.000,163
71,0,8048,8048,8048,290.500,148.000,167
72,0,6949,6949,6949,243.000,262.000,169
73,0,4689,4689,4689,263.500,273.500,170
74,0,15641,15641,15641,267.000,227.500,175
75,0,4622,4622,4622,263.500,201.500,175
76,0,7184,7184,7184,311.000,243.500,177
77,0,12048,12048,12048,268.000,228.000,184
78,0,12789,12789,12789,309.500,77.500,194
79,0,6915,6915,6915,434.500,329.000,203
79,0,6915,6915,6915,434.500,329.000,nan
80,0,1807,1807,1807,433.500,274.000,206
81,0,5468,5468,5468,261.000,91.000,211
82,0,3917,3917,3917,264.000,195.000,212
83,0,9418,9418,9418,263.500,272.500,219
84,0,8903,8903,8903,415.500,349.500,221
85,0,7461,7461,7461,386.500,256.000,228
86,0,5902,5902,5902,387.500,256.500,222
87,0,10534,10534,10534,291.500,148.000,237
88,0,7479,7479,7479,308.000,220.500,250
89,0,12568,12568,12568,322.500,214.000,252
90,0,4664,4664,4664,264.500,196.000,242
91,0,5026,5026,5026,386.500,256.500,254
92,0,3736,3736,3736,325.500,121.500,261
93,0,4176,4176,4176,333.500,288.000,265
93,0,4176,4176,4176,nan,nan,nan
94,0,5166,5166,5166,372.500,263.000,265
95,0,2387,2387,2387,378.000,363.500,289
96,0,3529,3529,3529,325.000,308.500,290
97,0,7343,7343,7343,387.000,257.000,302
98,0,2542,2542,2542,377.000,363.500,304
99,0,7237,7237,7237,392.000,335.500,307
100,0,6875,6875,6875,459.000,402.500,308
101,0,12857,12857,12857,309.000,243.500,342
102,0,8516,8516,8516,322.000,213.500,353
103,0,9860,9860,9860,343.500,294.500,366
104,0,9005,9005,9005,264.500,273.000,366
